FID,District,Upazila,Union,Settlement,Camp Name,Inter Sector Coordination Group Camp Name,Unique ID,Facility Code,Facility,Geographical Coordinates,Source of Funding,Implementing Partner,Landslide,Flood,Landslide Risk,Flood Risk,Risk of both,Risk of either
0.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MQ_1,MQ,Mosque,"(21.21224574,  92.1679680299999)",Private Donation,**,**,**,No,No,No,No
1.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_CF_1,CF,Child Friendly Space,"(21.2125810699999,  92.16746224)",Non-governmental Organization (United Nations),Unicef,**,-1.0,No,Yes,No,Yes
2.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MD_1,MD,Madrassah,"(21.21039682,  92.16750261)",Private Donation,**,**,**,No,No,No,No
3.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MD_2,MD,Madrassah,"(21.2059039399999,  92.1593896699999)",Local Government,**,**,**,No,No,No,No
4.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_CF_2,CF,Child Friendly Space,"(21.2059305999999,  92.16004456)",Non-governmental Organization (United Nations),Mukti Ukaid Unicef,**,**,No,No,No,No
5.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MQ_2,MQ,Mosque,"(21.2041107599999,  92.1600602099999)",Local Government,**,**,**,No,No,No,No
6.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MQ_3,MQ,Mosque,"(21.2072509999999,  92.16507649)",Private Donation,**,**,**,No,No,No,No
7.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MQ_4,MQ,Mosque,"(21.2062251999999,  92.1641496999999)",Private Donation,**,**,**,No,No,No,No
8.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MQ_5,MQ,Mosque,"(21.20711018,  92.1662617199999)",Private Donation,**,**,**,No,No,No,No
9.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 2E,CXB-203,C2E_MD_3,MD,Madrassah,"(21.20884993,  92.16731547)",Private Donation,**,**,**,No,No,No,No
